	Unnamed: 0	0	query	triples
1210	1210	"Who was the leading female star in ""The Others"" which marked the final film appearance of Renée Asherson in 2001?"	"Who was the leading female star in ""The Others"" which marked the final film appearance of Renée Asherson in 2001?"	"{""named_entities"": [""The Others"", ""Renée Asherson""]}"
1211	1211	How many assists did the Bosnian football player account for during the 2008–09 VfL Wolfsburg season?	How many assists did the Bosnian football player account for during the 2008–09 VfL Wolfsburg season?	"{""named_entities"": [""Bosnian"", ""2008–09"", ""VfL Wolfsburg""]}"
1212	1212	Were the documentaries  One Big Hapa Family and A Film Unfinished directed by the same person?	Were the documentaries  One Big Hapa Family and A Film Unfinished directed by the same person?	"{""named_entities"": [""One Big Hapa Family"", ""A Film Unfinished""]}"
1213	1213	In the CBS television sitcome Double Rush, Johnny Verona, manager of a bicycle delivery service in New York City was played by an actor of what nationality?	In the CBS television sitcome Double Rush, Johnny Verona, manager of a bicycle delivery service in New York City was played by an actor of what nationality?	"{""named_entities"": [""CBS"", ""Double Rush"", ""Johnny Verona"", ""New York City""]}"
1214	1214	Jullian Allen a Brittish-American Illustrator had some of his Illustration published appear in Queen magazine. In 1970 the magazines name was changed to Harper's and Queen. What is the name of the magazine now ?	Jullian Allen a Brittish-American Illustrator had some of his Illustration published appear in Queen magazine. In 1970 the magazines name was changed to Harper's and Queen. What is the name of the magazine now ?	"{""named_entities"": [""Jullian Allen"", ""Brittish-American"", ""Illustrator"", ""Queen magazine"", ""Harper's and Queen""]}"
1215	1215	In what year was the mathematician husband of Anneli Cahn Lax born?	In what year was the mathematician husband of Anneli Cahn Lax born?	"{""named_entities"": [""Anneli Cahn Lax""]}"
1216	1216	What position did Ernest Newman hold at Her Majesty's Royal Palace and Fortress?	What position did Ernest Newman hold at Her Majesty's Royal Palace and Fortress?	"{""named_entities"": [""Ernest Newman"", ""Her Majesty's Royal Palace and Fortress""]}"
1217	1217	Jim Halsey guided the career of the musician who hosted what country variety show?	Jim Halsey guided the career of the musician who hosted what country variety show?	"{""named_entities"": [""Jim Halsey"", ""musician"", ""country variety show""]}"
1218	1218	"Which actresses appeared with the mother of Robert Lowery Hanks in the film ""Little Women""?"	"Which actresses appeared with the mother of Robert Lowery Hanks in the film ""Little Women""?"	"{""named_entities"": [""Robert Lowery Hanks"", ""Little Women""]}"
1219	1219	Are Kalenderhane Mosque and Galata Bridge both located in Istanbul?	Are Kalenderhane Mosque and Galata Bridge both located in Istanbul?	"{""named_entities"": [""Kalenderhane Mosque"", ""Galata Bridge"", ""Istanbul""]}"
1220	1220	"What album did John Lennon release before the one that contained the song ""How?"""	"What album did John Lennon release before the one that contained the song ""How?"""	"{""named_entities"": [""John Lennon"", ""How""]}"
1221	1221	Brigadier Stanley James Ledger Hill was attached to the command post of which senior British Army officer born on July 10, 1886?	Brigadier Stanley James Ledger Hill was attached to the command post of which senior British Army officer born on July 10, 1886?	"{""named_entities"": [""Brigadier Stanley James Ledger Hill"", ""British Army"", ""July 10, 1886""]}"
1222	1222	What is the airport code for the Vilnius Airport that ceased operations in 2015?	What is the airport code for the Vilnius Airport that ceased operations in 2015?	"{""named_entities"": [""Vilnius Airport""]}"
1223	1223	Which animated film was released first, The Country Bears or The Wild?	Which animated film was released first, The Country Bears or The Wild?	"{""named_entities"": [""The Country Bears"", ""The Wild""]}"
1224	1224	Where is the movie from that is directed by Raymond Yip and stars the winner of Miss Chinese International Pageant of 1988?	Where is the movie from that is directed by Raymond Yip and stars the winner of Miss Chinese International Pageant of 1988?	"{""named_entities"": [""Raymond Yip"", ""Miss Chinese International Pageant of 1988""]}"
1225	1225	What type of structure does 277 Park Avenue and 126 Madison Avenue have in common?	What type of structure does 277 Park Avenue and 126 Madison Avenue have in common?	"{""named_entities"": [""277 Park Avenue"", ""126 Madison Avenue""]}"
1226	1226	John Stoltenberg is the managing editor of the magazine that focuses on what?	John Stoltenberg is the managing editor of the magazine that focuses on what?	"{""named_entities"": [""John Stoltenberg""]}"
1227	1227	Name three best sellers from Arthur Hailey that were released before Donna Tartt was born.	Name three best sellers from Arthur Hailey that were released before Donna Tartt was born.	"{""named_entities"": [""Arthur Hailey"", ""Donna Tartt""]}"
1228	1228	Is Karjiang a mountain and Sherpi Kangri a mountain peak?	Is Karjiang a mountain and Sherpi Kangri a mountain peak?	"{""named_entities"": [""Karjiang"", ""Sherpi Kangri""]}"
1229	1229	Because Marc Shiller was born in Beunos Aires in 1957, but is a resident of the United States, what ethnic group does he belong to?	Because Marc Shiller was born in Beunos Aires in 1957, but is a resident of the United States, what ethnic group does he belong to?	"{""named_entities"": [""Marc Shiller"", ""Beunos Aires"", ""United States""]}"
1230	1230	Which one the cast members in the film Only Lovers Left Alive also played in Othello?	Which one the cast members in the film Only Lovers Left Alive also played in Othello?	"{""named_entities"": [""Only Lovers Left Alive"", ""Othello""]}"
1231	1231	Which song by Last One Picked appeared in a 2004 American teen musical comedy film directed by Sara Sugarman?	Which song by Last One Picked appeared in a 2004 American teen musical comedy film directed by Sara Sugarman?	"{""named_entities"": [""Last One Picked"", ""2004 American teen musical comedy film"", ""Sara Sugarman""]}"
1232	1232	Are Jim Lindberg and Alison Moyet singers of the same nationality?	Are Jim Lindberg and Alison Moyet singers of the same nationality?	"{""named_entities"": [""Jim Lindberg"", ""Alison Moyet""]}"
1233	1233	Chapter 27 is a 2007 film depicting the murder of John Lennon by someone who remained at the crime scene after the murder reading what novel?	Chapter 27 is a 2007 film depicting the murder of John Lennon by someone who remained at the crime scene after the murder reading what novel?	"{""named_entities"": [""Chapter 27"", ""2007"", ""John Lennon""]}"
1234	1234	When was the father of Princess Mafalda of Savoy born ?	When was the father of Princess Mafalda of Savoy born ?	"{""named_entities"": [""Princess Mafalda of Savoy""]}"
1235	1235	How many more singles titles did Kim Warwick win than Jorge Lozano?	How many more singles titles did Kim Warwick win than Jorge Lozano?	"{""named_entities"": [""Kim Warwick"", ""Jorge Lozano""]}"
1236	1236	What is the name of the 1999 film directed by Roman Polanski and starring his wife Emmanuelle Seigner that was a world-wide success but critically and commercially unsuccessful in North America?	What is the name of the 1999 film directed by Roman Polanski and starring his wife Emmanuelle Seigner that was a world-wide success but critically and commercially unsuccessful in North America?	"{""named_entities"": [""Roman Polanski"", ""Emmanuelle Seigner""]}"
1237	1237	Which film was released more recently, Make Mine Music or Old Dogs?	Which film was released more recently, Make Mine Music or Old Dogs?	"{""named_entities"": [""Make Mine Music"", ""Old Dogs""]}"
1238	1238	Operation light house was an experiment by Wernher von Braun and another man born in what year?	Operation light house was an experiment by Wernher von Braun and another man born in what year?	"{""named_entities"": [""Wernher von Braun""]}"
1239	1239	Are both Cynthia Mort and George Archainbaud American?	Are both Cynthia Mort and George Archainbaud American?	"{""named_entities"": [""Cynthia Mort"", ""George Archainbaud"", ""American""]}"
1240	1240	Maggie May is a musical based on a folk song about a prostitute who robbed whom?	Maggie May is a musical based on a folk song about a prostitute who robbed whom?	"{""named_entities"": [""Maggie May""]}"
1241	1241	The R241 road is in a county in what Republic?	The R241 road is in a county in what Republic?	"{""named_entities"": [""R241 road""]}"
1242	1242	Which plane has seen more combat, the Northrop F-15 Reporter or the Northrop P-61 Black Widow?	Which plane has seen more combat, the Northrop F-15 Reporter or the Northrop P-61 Black Widow?	"{""named_entities"": [""Northrop F-15 Reporter"", ""Northrop P-61 Black Widow""]}"
1243	1243	Which rivers have their confluence at the city Shelly Hruska is from?	Which rivers have their confluence at the city Shelly Hruska is from?	"{""named_entities"": [""Shelly Hruska""]}"
1244	1244	Which airport Grand Forks International Airport or El Paso International Airport is closer to their town ?	Which airport Grand Forks International Airport or El Paso International Airport is closer to their town ?	"{""named_entities"": [""Grand Forks International Airport"", ""El Paso International Airport""]}"
1245	1245	What flow of goods and services were managed and distributed by General Blood?	What flow of goods and services were managed and distributed by General Blood?	"{""named_entities"": [""General Blood""]}"
1246	1246	What is the nickname of the WWII battleship at the Fall River Heritage State Park?	What is the nickname of the WWII battleship at the Fall River Heritage State Park?	"{""named_entities"": [""WWII battleship"", ""Fall River Heritage State Park""]}"
1247	1247	Astro Boy and The Secret of Kells share which genre of film?	Astro Boy and The Secret of Kells share which genre of film?	"{""named_entities"": [""Astro Boy"", ""The Secret of Kells""]}"
1248	1248	What was the name of Kalyanji Virji Shah's brother who won the Filmfare Award for Best Music Director?	What was the name of Kalyanji Virji Shah's brother who won the Filmfare Award for Best Music Director?	"{""named_entities"": [""Kalyanji Virji Shah"", ""Filmfare Award"", ""Best Music Director""]}"
1249	1249	What sport is played by both Justin Gimelstob and Angelique Kerber?	What sport is played by both Justin Gimelstob and Angelique Kerber?	"{""named_entities"": [""Justin Gimelstob"", ""Angelique Kerber""]}"
1250	1250	The Meadowbrook State Parkway connects to the Southern State Parkway in a community with what population as of the 2010 census?	The Meadowbrook State Parkway connects to the Southern State Parkway in a community with what population as of the 2010 census?	"{""named_entities"": [""Meadowbrook State Parkway"", ""Southern State Parkway""]}"
1251	1251	Stephen Graham starred in a film in 2006, directed by whom?	Stephen Graham starred in a film in 2006, directed by whom?	"{""named_entities"": [""Stephen Graham"", ""2006""]}"
1252	1252	What city is between Normanby le Wold and the A46 Junction between Lincoln and Grimsby?	What city is between Normanby le Wold and the A46 Junction between Lincoln and Grimsby?	"{""named_entities"": [""Normanby le Wold"", ""A46 Junction"", ""Lincoln"", ""Grimsby""]}"
1253	1253	Which Roman Emperor was grandfather to the children of Mark Antony?	Which Roman Emperor was grandfather to the children of Mark Antony?	"{""named_entities"": [""Roman Emperor"", ""Mark Antony""]}"
1254	1254	What season three X Factor winner has worked with songwriter Ryan Tedder?	What season three X Factor winner has worked with songwriter Ryan Tedder?	"{""named_entities"": [""X Factor"", ""Ryan Tedder""]}"
1255	1255	The university which David R. Marchant was a member of in 1994 is located in what city?	The university which David R. Marchant was a member of in 1994 is located in what city?	"{""named_entities"": [""David R. Marchant"", ""1994""]}"
1256	1256	Which member of the research project conducted by the Creation Research Society and the Institute for Creation Research between 1997 and 2005 was Kevin R. Henke most critical of? 	Which member of the research project conducted by the Creation Research Society and the Institute for Creation Research between 1997 and 2005 was Kevin R. Henke most critical of? 	"{""named_entities"": [""Creation Research Society"", ""Institute for Creation Research"", ""Kevin R. Henke""]}"
1257	1257	Psycho-physical Awareness was developed into an original and dependable method by a Russian-American actor who was referred to by Konstantin Stanislavski as what?	Psycho-physical Awareness was developed into an original and dependable method by a Russian-American actor who was referred to by Konstantin Stanislavski as what?	"{""named_entities"": [""Psycho-physical Awareness"", ""Russian-American"", ""Konstantin Stanislavski""]}"
1258	1258	Between the documentaries The Staten Island Catapult and Frida, en trotjänarinna which came first?	Between the documentaries The Staten Island Catapult and Frida, en trotjänarinna which came first?	"{""named_entities"": [""The Staten Island Catapult"", ""Frida, en trotjänarinna""]}"
1259	1259	The 1974 South African Grand Prix was a Formula One motor race held at a racing circuit located in which South African Province ?	The 1974 South African Grand Prix was a Formula One motor race held at a racing circuit located in which South African Province ?	"{""named_entities"": [""1974 South African Grand Prix"", ""Formula One"", ""South African Province""]}"
1260	1260	What was the sequel of the game that e was published by U.S. Gold in 1992?	What was the sequel of the game that e was published by U.S. Gold in 1992?	"{""named_entities"": [""U.S. Gold""]}"
1261	1261	Which number in the Final Fantasy series was created by Hiroyuki Ito and allows the player control of the artificial intelligence of the characters in battle?	Which number in the Final Fantasy series was created by Hiroyuki Ito and allows the player control of the artificial intelligence of the characters in battle?	"{""named_entities"": [""Final Fantasy"", ""Hiroyuki Ito""]}"
1262	1262	Leonard Stogel managed which rock singer known for his robe-and-turban outfit?	Leonard Stogel managed which rock singer known for his robe-and-turban outfit?	"{""named_entities"": [""Leonard Stogel"", ""rock singer""]}"
1263	1263	Howard Bilerman produced an album for which songwriter from Athens, Georgia?	Howard Bilerman produced an album for which songwriter from Athens, Georgia?	"{""named_entities"": [""Howard Bilerman"", ""Athens, Georgia""]}"
1264	1264	"""Heropanti"" star Kriti Sanon appears in the remix video for a song from what Bollywood film?"	"""Heropanti"" star Kriti Sanon appears in the remix video for a song from what Bollywood film?"	"{""named_entities"": [""Heropanti"", ""Kriti Sanon"", ""Bollywood""]}"
1265	1265	What is the name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?	What is the name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?	"{""named_entities"": [""Anna Camp"", ""Barden University"", ""The Bellas""]}"
1266	1266	British Airways and EasyJet are both based out of where?	British Airways and EasyJet are both based out of where?	"{""named_entities"": [""British Airways"", ""EasyJet""]}"
1267	1267	"Where did the father of Edward Garrison Walker live when he wrote ""An Appeal to the Coloured Citizens of the World""?"	"Where did the father of Edward Garrison Walker live when he wrote ""An Appeal to the Coloured Citizens of the World""?"	"{""named_entities"": [""Edward Garrison Walker""]}"
1268	1268	Are Sutera and Rhodotypos both types of shrub?	Are Sutera and Rhodotypos both types of shrub?	"{""named_entities"": [""Sutera"", ""Rhodotypos"", ""shrub""]}"
1269	1269	Jesús Dautt is a Mexican professional footballer who is on loan from a club founded on what date?	Jesús Dautt is a Mexican professional footballer who is on loan from a club founded on what date?	"{""named_entities"": [""Jesús Dautt"", ""Mexican"", ""footballer""]}"
1270	1270	Which star of The Human Stain was born in 1937?	Which star of The Human Stain was born in 1937?	"{""named_entities"": [""The Human Stain"", ""1937""]}"
1271	1271	Which basketball club located in Alytus, Lithuania does Anatoly Kashirov play for?	Which basketball club located in Alytus, Lithuania does Anatoly Kashirov play for?	"{""named_entities"": [""Alytus"", ""Lithuania"", ""Anatoly Kashirov""]}"
1272	1272	For which University did the quarterback featured on the cover of Madden NFL 06 play basketball ?	For which University did the quarterback featured on the cover of Madden NFL 06 play basketball ?	"{""named_entities"": [""Madden NFL 06""]}"
1273	1273	Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?	Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?	"{""named_entities"": [""Istanbul"", ""Bayezid II Mosque"", ""Nusretiye Mosque"", ""Baroque style""]}"
1274	1274	Which player Richard Gasquet or Jim Pugh  has won more mixed double Grand Slam titles ?	Which player Richard Gasquet or Jim Pugh  has won more mixed double Grand Slam titles ?	"{""named_entities"": [""Richard Gasquet"", ""Jim Pugh"", ""mixed double Grand Slam titles""]}"
1275	1275	Which of the singers has more things to be known for, Greg Puciato or Syd Barrett?	Which of the singers has more things to be known for, Greg Puciato or Syd Barrett?	"{""named_entities"": [""Greg Puciato"", ""Syd Barrett""]}"
1276	1276	Multiple award-winning actor Gary Sinise appeared in The Stand in 1994 - a miniseries based on a novel and screenplay by which noted author?	Multiple award-winning actor Gary Sinise appeared in The Stand in 1994 - a miniseries based on a novel and screenplay by which noted author?	"{""named_entities"": [""Gary Sinise"", ""The Stand"", ""1994""]}"
1277	1277	Is Carnegie Hall Tower located in the same city as Staten Island?	Is Carnegie Hall Tower located in the same city as Staten Island?	"{""named_entities"": [""Carnegie Hall Tower"", ""Staten Island""]}"
1278	1278	Who lived longer, Leonid Khachiyan or Nikolai Lobachevsky?	Who lived longer, Leonid Khachiyan or Nikolai Lobachevsky?	"{""named_entities"": [""Leonid Khachiyan"", ""Nikolai Lobachevsky""]}"
1279	1279	Who created the 2003 remake of the 1983 overhead view, vehicular combat game developed by Bally Midway?	Who created the 2003 remake of the 1983 overhead view, vehicular combat game developed by Bally Midway?	"{""named_entities"": [""Bally Midway""]}"
1280	1280	What movie included Robin Williams along with Joshua Aaron Charles, set in 1959 at a Vermont boarding school?	What movie included Robin Williams along with Joshua Aaron Charles, set in 1959 at a Vermont boarding school?	"{""named_entities"": [""Robin Williams"", ""Joshua Aaron Charles"", ""1959"", ""Vermont"", ""boarding school""]}"
1281	1281	What year did the musical premiere that was based on the 2007 Irish romantic musical film of the same name?	What year did the musical premiere that was based on the 2007 Irish romantic musical film of the same name?	"{""named_entities"": [""2007"", ""Irish""]}"
1282	1282	What production company was founded by George Balanchine to create a live stage version of the 1942 film Casablanca?	What production company was founded by George Balanchine to create a live stage version of the 1942 film Casablanca?	"{""named_entities"": [""George Balanchine"", ""Casablanca""]}"
1283	1283	How long is the tidal estuary in which Branford is a shoreline town?	How long is the tidal estuary in which Branford is a shoreline town?	"{""named_entities"": [""Branford""]}"
1284	1284	How many girls and boys are in the seventeen sibling family featured on Counting On?	How many girls and boys are in the seventeen sibling family featured on Counting On?	"{""named_entities"": [""seventeen"", ""Counting On""]}"
1285	1285	"How many records had the team sold before performing ""aint thinkin' 'bout you""?"	"How many records had the team sold before performing ""aint thinkin' 'bout you""?"	"{""named_entities"": [""aint thinkin' 'bout you""]}"
1286	1286	WSCV's transmitter is located near this stadium located in which suburb?	WSCV's transmitter is located near this stadium located in which suburb?	"{""named_entities"": [""WSCV"", ""stadium""]}"
1287	1287	What was the name of Scottish singer-songwriter James Aaron Diamond's first solo album that debuted in 1985?	What was the name of Scottish singer-songwriter James Aaron Diamond's first solo album that debuted in 1985?	"{""named_entities"": [""James Aaron Diamond"", ""1985""]}"
1288	1288	"Which character did Tamzin Outhwaite play first: Connie (on ""Inside No. 9"") or Melanie Owen (""EastEnders"")?"	"Which character did Tamzin Outhwaite play first: Connie (on ""Inside No. 9"") or Melanie Owen (""EastEnders"")?"	"{""named_entities"": [""Tamzin Outhwaite"", ""Connie"", ""Inside No. 9"", ""Melanie Owen"", ""EastEnders""]}"
1289	1289	" Hamilton Evans ""Tony"" James is the COO and director of the largest alternative investment firm in what?"	" Hamilton Evans ""Tony"" James is the COO and director of the largest alternative investment firm in what?"	"{""named_entities"": [""Hamilton Evans James"", ""Tony James""]}"
1290	1290	What was the 2010 population of the town where Lake George Avenue Historic District is located?	What was the 2010 population of the town where Lake George Avenue Historic District is located?	"{""named_entities"": [""2010"", ""Lake George Avenue Historic District""]}"
1291	1291	Is the school where Aaron Parrett currently teaches English Literature public or private?	Is the school where Aaron Parrett currently teaches English Literature public or private?	"{""named_entities"": [""Aaron Parrett"", ""English Literature""]}"
1292	1292	Were the board games, Clans and Drunter und Drüber, both created by Leo Colovini?	Were the board games, Clans and Drunter und Drüber, both created by Leo Colovini?	"{""named_entities"": [""Clans"", ""Drunter und Drüber"", ""Leo Colovini""]}"
1293	1293	Who is prime minister of this West African country that covers 36125km2?	Who is prime minister of this West African country that covers 36125km2?	"{""named_entities"": [""West African""]}"
1294	1294	What city that Lettuce Lake Park is just outside of is the largest in Hillsborough County, Florida? 	What city that Lettuce Lake Park is just outside of is the largest in Hillsborough County, Florida? 	"{""named_entities"": [""Lettuce Lake Park"", ""Hillsborough County, Florida""]}"
1295	1295	Kete Krachi is a town in what region?	Kete Krachi is a town in what region?	"{""named_entities"": [""Kete Krachi""]}"
1296	1296	Which Prince of Bismarcks EMS dispatch incited France to declare the Franco-Prussian War in July 1870	Which Prince of Bismarcks EMS dispatch incited France to declare the Franco-Prussian War in July 1870	"{""named_entities"": [""Prince of Bismarck"", ""EMS dispatch"", ""France"", ""Franco-Prussian War""]}"
1297	1297	Tryon D. Lewis is a lawyer from Odessa, Texas which is located in what county?	Tryon D. Lewis is a lawyer from Odessa, Texas which is located in what county?	"{""named_entities"": [""Tryon D. Lewis"", ""Odessa, Texas""]}"
1298	1298	Mundo Perdido was influenced by an ancient Mesoamerican city located in a sub-valley of the Valley of Mexico, that is 40 km northeast of what modern day city?	Mundo Perdido was influenced by an ancient Mesoamerican city located in a sub-valley of the Valley of Mexico, that is 40 km northeast of what modern day city?	"{""named_entities"": [""Mundo Perdido"", ""Valley of Mexico""]}"
1299	1299	Which Disneyland attraction is Matterhorn Bobsleds roller coaster, an expanded version of	Which Disneyland attraction is Matterhorn Bobsleds roller coaster, an expanded version of	"{""named_entities"": [""Disneyland"", ""Matterhorn Bobsleds""]}"
1300	1300	Was Pepper Keenan or Rob Parissi born first?	Was Pepper Keenan or Rob Parissi born first?	"{""named_entities"": [""Pepper Keenan"", ""Rob Parissi""]}"
1301	1301	Which is headquarter farther south, Jet's Pizza or Chuck E. Cheese's?	Which is headquarter farther south, Jet's Pizza or Chuck E. Cheese's?	"{""named_entities"": [""Jet's Pizza"", ""Chuck E. Cheese's""]}"
1302	1302	What championship did the person who substituted for Simon Pagenaud secure a contract to drive in 2017?	What championship did the person who substituted for Simon Pagenaud secure a contract to drive in 2017?	"{""named_entities"": [""Simon Pagenaud"", ""2017""]}"
1303	1303	What is a Southern European island country that was home to an airline pilot who flew the CASA-212-200 Aviocar before retiring in 2008 for health reasons? 	What is a Southern European island country that was home to an airline pilot who flew the CASA-212-200 Aviocar before retiring in 2008 for health reasons? 	"{""named_entities"": [""Southern European"", ""island country"", ""CASA-212-200 Aviocar"", ""2008""]}"
1304	1304	Was Cars 2 released by the same company which used songs written by Lin-Manuel Miranda in another of its movies?	Was Cars 2 released by the same company which used songs written by Lin-Manuel Miranda in another of its movies?	"{""named_entities"": [""Cars 2"", ""Lin-Manuel Miranda""]}"
1305	1305	Which US Supreme court case involved a waiver of right to counsel Planned Parenthood v. Casey or Montejo v. Louisiana?	Which US Supreme court case involved a waiver of right to counsel Planned Parenthood v. Casey or Montejo v. Louisiana?	"{""named_entities"": [""Planned Parenthood v. Casey"", ""Montejo v. Louisiana"", ""US Supreme Court""]}"
1306	1306	Are Greater Swiss Mountain Dog and Harrier both dog breeds?	Are Greater Swiss Mountain Dog and Harrier both dog breeds?	"{""named_entities"": [""Greater Swiss Mountain Dog"", ""Harrier"", ""dog breeds""]}"
1307	1307	The On Tour Forever album gave Blues Traveler the opportunity to display what musical trademark?	The On Tour Forever album gave Blues Traveler the opportunity to display what musical trademark?	"{""named_entities"": [""On Tour Forever"", ""Blues Traveler""]}"
1308	1308	Davy Crockett, King of the Wild Frontier:and Herbie Rides Again were both by which company?	Davy Crockett, King of the Wild Frontier:and Herbie Rides Again were both by which company?	"{""named_entities"": [""Davy Crockett, King of the Wild Frontier"", ""Herbie Rides Again""]}"
1309	1309	What is the nationality of the most successful female ski racer ever?	What is the nationality of the most successful female ski racer ever?	"{""named_entities"": [""female ski racer""]}"
1310	1310	The Lady Craved Excitement was a film that featured the British character actor originally of what nationality?	The Lady Craved Excitement was a film that featured the British character actor originally of what nationality?	"{""named_entities"": [""British""]}"
1311	1311	Andrew Stanton co-directed which film which featured greedy grasshoppers?	Andrew Stanton co-directed which film which featured greedy grasshoppers?	"{""named_entities"": [""Andrew Stanton"", ""greedy grasshoppers""]}"
1312	1312	"Who produced the 1998 British comedy starring the director of the feature film ""Eddie the Eagle""?"	"Who produced the 1998 British comedy starring the director of the feature film ""Eddie the Eagle""?"	"{""named_entities"": [""1998 British comedy"", ""Eddie the Eagle""]}"
1313	1313	In regards to the 2015 animation film based on The True Meaning of Smekday, who produced a song that was sung by a Barbadian?	In regards to the 2015 animation film based on The True Meaning of Smekday, who produced a song that was sung by a Barbadian?	"{""named_entities"": [""2015"", ""The True Meaning of Smekday"", ""Barbadian""]}"
1314	1314	How did the chairman of the Luthuanian Union of Actors discribe the star of the film Redirected?	How did the chairman of the Luthuanian Union of Actors discribe the star of the film Redirected?	"{""named_entities"": [""Lithuanian Union of Actors"", ""Redirected""]}"
1315	1315	In what year was the band, whose bassist joined Arvas in 1996, formed?	In what year was the band, whose bassist joined Arvas in 1996, formed?	"{""named_entities"": [""Arvas""]}"
1316	1316	What location is shared by both Great Neck School District and Saddle Rock Elementary School?	What location is shared by both Great Neck School District and Saddle Rock Elementary School?	"{""named_entities"": [""Great Neck School District"", ""Saddle Rock Elementary School""]}"
1317	1317	Which magazine was created first, Macworld or Soaps In Depth?	Which magazine was created first, Macworld or Soaps In Depth?	"{""named_entities"": [""Macworld"", ""Soaps In Depth""]}"
1318	1318	Which tournament, organised by the Professional Darts Corporation, is planned to finish at the multi-purpose indoor arena located in the centre of The O2 entertainment complex on the Greenwich Peninsula in south-east London?	Which tournament, organised by the Professional Darts Corporation, is planned to finish at the multi-purpose indoor arena located in the centre of The O2 entertainment complex on the Greenwich Peninsula in south-east London?	"{""named_entities"": [""Professional Darts Corporation"", ""The O2 entertainment complex"", ""Greenwich Peninsula"", ""London""]}"
1319	1319	Which city is the home of the character that might be based on John Capozzi?	Which city is the home of the character that might be based on John Capozzi?	"{""named_entities"": [""John Capozzi""]}"
1320	1320	Who was older, Andrew Preston or James Taylor?	Who was older, Andrew Preston or James Taylor?	"{""named_entities"": [""Andrew Preston"", ""James Taylor""]}"
1321	1321	Charles Barkley changed his jersey number to #32 in honor of a player born in which year ?	Charles Barkley changed his jersey number to #32 in honor of a player born in which year ?	"{""named_entities"": [""Charles Barkley"", ""#32""]}"
1322	1322	Which company does Timothy Oulton retail his products through that is based in Corte Madera?	Which company does Timothy Oulton retail his products through that is based in Corte Madera?	"{""named_entities"": [""Timothy Oulton"", ""Corte Madera""]}"
1323	1323	"The movie that was the directorial debut of Jonathan Glazer included the musical piece Lujon. Which other movie that has the letter ""B"" in it also includes this piece?"	"The movie that was the directorial debut of Jonathan Glazer included the musical piece Lujon. Which other movie that has the letter ""B"" in it also includes this piece?"	"{""named_entities"": [""Jonathan Glazer"", ""Lujon""]}"
1324	1324	Toby Kebbell starred in a fantasy action film based on a video game series in 2016 notably set in teh world of what?	Toby Kebbell starred in a fantasy action film based on a video game series in 2016 notably set in teh world of what?	"{""named_entities"": [""Toby Kebbell"", ""2016""]}"
1325	1325	Which school is named after a person, Sir Syed University of Engineering and Technology or Manhattan College? 	Which school is named after a person, Sir Syed University of Engineering and Technology or Manhattan College? 	"{""named_entities"": [""Sir Syed University of Engineering and Technology"", ""Manhattan College""]}"
1326	1326	"What is the occupation of the father of the actor that plays Will Graham on teh series ""Hannibal""?"	"What is the occupation of the father of the actor that plays Will Graham on teh series ""Hannibal""?"	"{""named_entities"": [""Will Graham"", ""Hannibal""]}"
1327	1327	J.B. Scotts located on this 11 mile stretch in Albany New York and is also known by this name in Schenectady County?	J.B. Scotts located on this 11 mile stretch in Albany New York and is also known by this name in Schenectady County?	"{""named_entities"": [""J.B. Scotts"", ""Albany New York"", ""Schenectady County""]}"
1328	1328	Double Jeopardy is a 1999 film starring an American political activist best known for an ongoing acting career spanning how long?	Double Jeopardy is a 1999 film starring an American political activist best known for an ongoing acting career spanning how long?	"{""named_entities"": [""Double Jeopardy"", ""1999"", ""American"", ""political activist""]}"
1329	1329	"Which writer of ""Rewrite This Story"" are an American songwriting duo and composing team for musical theater, films, and television?"	"Which writer of ""Rewrite This Story"" are an American songwriting duo and composing team for musical theater, films, and television?"	"{""named_entities"": [""Rewrite This Story"", ""American"", ""songwriting duo"", ""composing team"", ""musical theater"", ""films"", ""television""]}"
1330	1330	Which shore does the castle, which Sir James Montgomery, 4th Baronet is the tenth laird of, stand?	Which shore does the castle, which Sir James Montgomery, 4th Baronet is the tenth laird of, stand?	"{""named_entities"": [""Sir James Montgomery"", ""4th Baronet""]}"
1331	1331	Who was born first, Johan Leysen or George Clooney?	Who was born first, Johan Leysen or George Clooney?	"{""named_entities"": [""Johan Leysen"", ""George Clooney""]}"
1332	1332	Which member of The New Russian School was both a doctor and a chemist besides being a composer?	Which member of The New Russian School was both a doctor and a chemist besides being a composer?	"{""named_entities"": [""The New Russian School""]}"
1333	1333	Umi-a-Liloa inherited authority of a kind which is a belief in what?	Umi-a-Liloa inherited authority of a kind which is a belief in what?	"{""named_entities"": [""Umi-a-Liloa""]}"
1334	1334	"The star of ""Lady in a Cage"" was born in what year?"	"The star of ""Lady in a Cage"" was born in what year?"	"{""named_entities"": [""Lady in a Cage""]}"
1335	1335	"How high on the US ""Billboard"" Hot 100 chart did Dan Smith's song reach in 2013?"	"How high on the US ""Billboard"" Hot 100 chart did Dan Smith's song reach in 2013?"	"{""named_entities"": [""US"", ""Billboard Hot 100"", ""Dan Smith"", ""2013""]}"
